title,organizer,description,location,type,deadline,eligibility,artTypes,prize,link
"Act Two: No Fuss Funding
",ArtsPay Foundation - National,"Twelve grants of $7,500 are available to independent artists and two to small arts organisations (under $1M turnover). Funding is flexible, with no requirement for specific projects, outcomes, or deliverables.",National,Funding,4 Aug 2025,Been residing in Australia for at least the last two years,All disciplines,"Twelve $7,500 grants ",https://artspayfoundation.org/funding
Narrative Content Short Film Production Fund,Screen Australia,Funding for live action or animated short films (up to 15 minutes) intended for theatrical festival release.,National,Production Fund,30 October 2025,Not specified,"Live Action, Animation","$75,000 – $125,000",https://www.screenaustralia.gov.au/funding-and-support/narrative-content-production/narrative-content-short-film
Arts Projects for Individuals and Groups,Creative Australia,"Funding of $10,000 to $50,000 for creative projects and activities across all art forms, including national and international opportunities.",National,Grant,2 September 2025,Not specified,All Art Forms,"$10,000 – $50,000",https://creative.gov.au/investments-opportunities/arts-projects-individuals-and-groups
Elevate: First Nations Storytelling and Literature Fund,Creative Australia,"Grants for career development open to First Nations writers, poets, editors, illustrators, journalists, arts workers, and literature groups.",National,Grant,2 September 2025,First Nations creatives in literature,Literature,"$10,000",ricky.wighton@creative.gov.au
International Travel Fund,Creative Australia,"Supports international travel for market development, networking, and cultural exchange (travel from 15 Oct 2025 to 30 June 2026).",National,Travel Grant,19 August 2025,Not specified,All Art Forms,"$5,000 – $20,000",https://creative.gov.au/investments-opportunities/international-travel-fund
North America Publishers’ Program 2026,Creative Australia,"Travel support for rights sellers, literary agents, and children’s/YA publishers to join a 7-day delegation in NY and Toronto.",National,Travel Grant,19 August 2025,"Rights sellers, literary agents, publishers",Publishing,"$6,000",jo.simpson@creative.gov.au
MATCH Lab,Creative Australia,"Matched funding for artists and groups developing fundraising campaigns, includes training and PD clinic.",National,Fundraising Support,5 August 2025,Artists and groups,All Art Forms,"Up to $10,000 + PD Support",https://creative.gov.au/investments-opportunities/match-lab
Plus1,Creative Australia,"Matched funding for arts/cultural organisations to strengthen fundraising, build networks, and grow private support.",National,Fundraising Support,5 Aug 2025,Small-to-medium arts and cultural organisations,All Art Forms,"Up to $50,000 Matched Funding",https://creative.gov.au/investments-opportunities/plus1
Playing Australia Audience Development Multi-Year Program 2026–2028,Creative Australia,Funding for touring projects focused on regional/remote audiences. Up to 3 years of support aligned with audience development goals.,National,Touring Grant,5 August 2025,Touring projects,Performing Arts,"Up to $300,000 per year (3 years)",https://creative.gov.au/investments-opportunities/playing-australia-multi-year-investment-audience-development-2026-28
Community Grants Program 2025,FRRR,"Grants for not-for-profits in rural/regional/remote Australia for grassroots projects that build identity, support volunteers, and more.",National (Regional & Remote),Community Grant,7 Aug 2025,Not-for-profits in rural/regional/remote areas,Community Arts,"Up to $5,000",info@frrr.org.au
Peter Blazey Fellowship,The University of Melbourne,"Annual fellowship for writers working on non-fiction manuscripts in biography, autobiography, or life writing.",National,Fellowship,11 Aug 2025,Writers working on non-fiction,Literature,"Up to $20,000",https://arts.unimelb.edu.au/scholarships/external-prizes/peter-blazey-fellowshi
Quick Response Grants,Regional Arts Fund,Supports artists and arts workers with urgent professional development or small projects at short notice. Available across all states for regional artists.,National,Quick Response Grant,Accepting Applications,Regional artists,All Art Forms,"Up to $3,000 Individuals / $5,000 Groups",https://www.rav.net.au/grants/quick-response-grants/
Regional Arts Fund – Project Grants 2025–2026,Regional Arts Australia,"Funding for regionally based artists, arts workers, and organisations to support creative projects and professional development that benefit regional communities across Australia.",National,Project Grant,12–31 August 2025 (State Dependent),Regional artists and organisations,All Art Forms,"Up to $30,000",https://regionalarts.com.au/regional-arts-fund/apply-to-the-raf
Sidney Myer Creative Fellowships,Sidney Myer Fund & The Myer Foundation,"Unrestricted, tax-free grants of $200,000 over two years awarded to early mid-career Australian artists and cultural leaders demonstrating outstanding talent and exceptional courage.",National,Fellowship,17 August 2025,Early mid-career artists and leaders,All Art Forms,"$200,000 Over Two Years",https://www.myerfoundation.org.au/grant-opportunities-list/sidney-myer-creative-fellowships
Copyright Agency Partnerships: UNSW Galleries 2025–26,Copyright Agency,"$80,000 commission for mid-career and established visual artists to develop and exhibit new work at UNSW Galleries from 4 Sept – 22 Nov 2026.",NSW,Commission,18 August 2025,Mid-career and established visual artists,Visual Arts,"$80,000 Commission",culturalfund@copyright.com.au
Publishing Fellowships,Copyright Agency,"For mid-career professionals in Australian publishing to pursue innovative projects, mentorships, or skills development.",National,Fellowship,15 September 2025,Mid-career publishing professionals,Publishing,"Up to $15,000",culturalfund@copyright.com.au
Author Fellowship,Copyright Agency,Supports an established author to develop a new significant work. Open to those with 5+ full-length works and publishing contract or intent.,National,Fellowship,18 August 2025,Established authors with 5+ major works,Literature,"$80,000",culturalfund@copyright.com.au
Fellowship for Non-Fiction Writing,Copyright Agency,Fellowship for creation of a new literary non-fiction work. Open to authors with at least two published full-length works and confirmed publishing pathway.,National,Fellowship,18 August 2025,Established non-fiction authors,Literature,"$80,000",culturalfund@copyright.com.au
Grants for Organisations,Copyright Agency,"Supports audience development and leadership projects in writing, publishing, and visual arts, with focus on First Nations and diversity.",National,Organisation Grant,15 September 2025,Arts organisations,"Writing, Publishing, Visual Arts","$10,000 – $30,000",culturalfund@copyright.com.au
Crisis Relief Grants,Support Act,"For musicians, managers, and crew experiencing hardship due to illness, mental health, older age, or other crisis. Grants cover personal expenses (non-cash) and include social work/practical support.",National,Crisis Relief Grant,Apply Anytime,Music workers in crisis,Music,Based on need (non-cash support),https://supportact.org.au/individual-support/crisis-relief-support/crisis-relief-grants/
Aboriginal Arts Grants,City of Melbourne,"Grants up to $20,000 for Aboriginal artists and creative organisations to develop and present new work across all art forms.",VIC,Arts Grant,28 September 2025,Aboriginal artists and organisations,All Art Forms,"Up to $20,000",https://www.melbourne.vic.gov.au/aboriginal-arts-grants
Flourish Arts Grants 2026,Merri-bek City Council,"Grants for artists and organisations to support sustainability, community engagement, and audience development in Merri-bek.",VIC,Arts Grant,25 August 2025,Individual artists and arts organisations in Merri-bek,All Art Forms,"Up to $10,000",artsgrants@merri-bek.vic.gov.au
Creative Engine Grants,Geelong Arts Centre,"Cash and in-kind support for six G21 region artists including studio access, mentorship, and co-working space.",VIC,Development Support,18 August 2025,Creatives in live performance connected to Geelong,Live Performance,"Up to $5,000 + In-Kind Support",creativeengine@geelongartscentre.org.au
Arts Projects Grants,City of Greater Geelong,"Funding for new creative work connected to Geelong’s people, stories, and place.",VIC,Project Grant,8 September 2025,"Individuals, groups, sole traders, organisations",All Art Forms,"Up to $10,000",communitygrants@geelongcity.vic.gov.au
Victoria’s Pride Regional Activation Program,Midsumma,Supports LGBTQIA+ regional artists to lead arts and cultural projects that celebrate queer communities. Projects must occur 1 Nov 2025 – 8 Feb 2026.,VIC,Cultural Grant,5 August 2025,"LGBTQIA+ regional artists, groups, organisations",All Art Forms,"Up to $10,000",communityengagement@midsumma.org.au
First Peoples Tourism Growth Program,Business Victoria,Grants for tourism-related business activities for Victorian First Peoples-owned enterprises and organisations.,VIC,Business Development,8 August 2025,First Peoples-owned tourism businesses,"Tourism, Creative Enterprises","Up to $125,000",https://business.vic.gov.au/grants-and-programs/first-peoples-tourism-growth-program
Artist Project Grants,Frankston City Council,Supports new creative work by artists of any stage within Frankston.,VIC,Project Grant,11 August 2025,Individual artists and small arts organisations,All Art Forms,"Up to $5,000",Heidi.Irvine@frankston.vic.gov.au
Arts and Culture Project Grants,Banyule City Council,Grants to activate and benefit community spaces through creative projects by local artists and organisations.,VIC,Project Grant,10 August 2025,Local artists and creative organisations,All Art Forms,"Up to $10,000",Hiroki.kobayashi@banyule.vic.gov.au
Community Grants Program 2025,Maribyrnong City Council,"Supports participation, capacity-building, wellbeing, and intercultural connection in the Maribyrnong community.",VIC,Community Grant,19 August 2025,Maribyrnong community members and organisations,"All Art Forms, Community","Up to $25,000",grants@maribyrnong.vic.gov.au
Dahl Fellowships,Eucalypt Australia,"Funds bold, original projects related to eucalypts in art, education, or conservation that are difficult to fund through other means.",VIC,Fellowship,12 August 2025,Artists and researchers with eucalypt-related proposals,"Art, Education, Conservation","Up to $25,000",https://eucalyptaustralia.org.au/fellowships/
A.M.E. Bale Travelling Scholarship,Glen Eira City Council,Supports emerging realist artists to undertake classical training in Australia or overseas through a one-year program studying old master works.,VIC,Travelling Scholarship,23 September 2025,"Emerging realist, figurative, representational style artists","Painting, Drawing, Representational","$50,000 Travelling Scholarship",https://www.gleneira.vic.gov.au/our-city/arts-and-culture/galleries-and-visual-art/ame-bale-travelling-scholarship-and-art-prize
VIC Quick Response Grants,Regional Arts Fund,Provides short-term funding for urgent creative opportunities and small-scale projects in regional Victoria.,VIC,Quick Response Grant,Applications Open,Regional Victorian artists and groups,All Art Forms,"$3,000 Individuals & $5,000 Groups",#N/A
Creative Arts Grant,Apollo Bay Arts,"Funding for regional artists and community groups in the Apollo Bay and Southern Otway region. Supports projects, learning, and multi-artist initiatives.",VIC,Arts Grant,10 August 2025,Regional artists and groups in Apollo Bay/Southern Otway,All Art Forms,"Up to $3,000",apollobayarts@gmail.com
Backroads 2025,Arts on Tour,"$7,000 grants for NSW-based artists/producers touring 1–3 small or community-run venues in regional/remote NSW. Projects must be low-budget and self-sufficient.",NSW,Touring Grant,17 Sep 2025,NSW-based artists and producers,"Performing Arts, Touring","$7,000 Touring Grant",mark@artsontour.com.au
CASP Grants 2025,Arts North West,Small grants supporting community arts and cultural development projects across the New England North West region.,NSW,Community Arts Grant,25 Aug 2025,Artists and community groups in New England North West,Community Arts,"Up to $3,000",rado@artsnw.com.au
Community Funding Program,Forbes Shire Council,"Grants for not-for-profits delivering projects in arts, culture, and community development in the Forbes region.",NSW,Community Grant,Applications Open,Not-for-profit groups in Forbes Shire,"Arts, Culture, Community","Up to $5,000",community@forbes.nsw.gov.au
Cultural Connections Grants,Inner West Council,"Funding for First Nations, POC, and culturally diverse artists/community leaders to deliver creative projects benefiting the Inner West community.",NSW,Cultural Diversity Grant,4 Aug 2025,Culturally diverse artists and leaders in Inner West,All Art Forms,"Up to $8,000",#N/A
Dobell Exhibition Grant,Museums & Galleries of NSW,"$40,000 grant to develop a curated visual arts exhibition in a regional/public NSW gallery, including public and education engagement programs.",NSW,Exhibition Grant,1 September 2025,Regional/public galleries in NSW,Visual Arts,"$40,000","https://artsoutwest.org.au/mg-nsw-grants/#:~:text=The%20Dobell%20Exhibition%20Grant%20program,a%20broad%20audience%20across%20NSW."
Layton Emerging Composer Fellowship,UNSW Music Performance Unit,"Fellowship for an emerging composer to create a chamber music work for the Australia Ensemble UNSW, including mentorship and public workshops.",NSW,Fellowship,22 August 2025,Emerging Australian composers,"Music, Composition","$10,000",https://www.music.unsw.edu.au/opportunities/layton-emerging-composer-fellowship
Arts and Social Sciences Scholarships,The University of Sydney,"Scholarships for undergrad, postgrad, and research students in arts/social sciences including visual arts, literature, and equity-based awards. Open to current and new students.",NSW,Scholarship,Accepting Applications,Arts and Social Sciences students,"Visual Arts, Literature, Equity",Varies by Scholarship,https://www.sydney.edu.au/arts/study/scholarships.html
Regional Arts Fund – Project Grants 2025,Regional Arts NSW,"Grants for high-quality arts projects benefitting regional/remote artists, arts workers, and communities in NSW. Open to all creative practices.",NSW,Project Grant,15 August 2025,Regional or remote NSW artists and groups,All Art Forms,"Up to $30,000",https://regionalartsnsw.com.au/raf-project-grants/
Skills Development Grants,Museums & Galleries of NSW,"Funding for volunteer museums, museum networks, and Aboriginal cultural spaces for regional or state-focused skill development and networking events.",NSW,Professional Development,November 2025,"Volunteer museums, museum networks, Aboriginal spaces","Museums, Culture",Not specified,https://mgnsw.org.au/sector/funding/grants-we-administer/volunteer-museum-grants/skills-development/
SoundNSW Touring & Travel Fund,SoundNSW,"Quick response funding for NSW contemporary music artists, acts, and music industry professionals.",NSW,Touring/Travel Support,28 November 2025,NSW-based contemporary music professionals,Contemporary Music,"Up to $5,000",https://www.nsw.gov.au/grants-and-funding/touring-and-travel-fund
Actors Benevolent Fund Grants Program,Actors Benevolent Fund of NSW,"Financial assistance for entertainment professionals facing hardship due to illness, injury, or unforeseen events.",NSW,Emergency Relief,Accepting Applications,Entertainment professionals in NSW,Performing Arts,"Up to $3,000",info@actorsbenevolentfund.org.au
Regional Arts Development Fund,Sunshine Coast Council,"Supports artists, producers, and creatives in the Sunshine Coast through various funding streams: major/small projects, mentorships, and development.",QLD,Multi-Stream Arts Fund,1 September 2025,Sunshine Coast-based artists and creatives,All Art Forms,"$1,500 – $15,000 (stream dependent)",https://www.sunshinecoast.qld.gov.au/living-and-community/grants-and-funding/grants-programs/arts-funding/regional-arts-development-fund
Regional Arts Fund – Project Grants,Flying Arts Alliance,"High-quality arts projects benefiting regional/remote Queensland communities. Open to all art forms, including cross-disciplinary work.",QLD,Project Grant,15 August 2025,Regional/remote QLD artists and groups,All Art Forms,"Up to $30,000",raf@flyingarts.org.au
Regional Arts Fund – Quick Response Grants,Flying Arts Alliance,Supports time-sensitive small-scale projects or professional development for regional QLD artists where other funding is not possible due to timing.,QLD,Quick Response Grant,31 August 2025,Regional/remote QLD individuals or organisations,All Art Forms,"$3,000 (Indiv.) / $5,000 (Org.)",raf@flyingarts.org.au
Creative WA Fellowships,"Dept. of Creative Industries, Tourism and Sport","Fellowships for WA artists: $26,000 for young artists (18–25), $50,000 for emerging/established artists (5+ years). Supports mentorship, residencies, etc.",WA,Fellowship,28 August 2025,WA-based artists (18–25 or 5+ years practice),All Art Forms,"$26,000 or $50,000",https://www.cits.wa.gov.au/funding/creative-industries-funding/creative-wa-fellowships
Contemporary Music Fund Development Program,"Dept. of Local Gov, Sport & Cultural Industries","Funding for WA contemporary music artists/groups for touring, showcasing, or professional development.",WA,Development Fund,4 December 2025,WA-based contemporary music practitioners,Contemporary Music,"Up to $20,000",grantsprogramsca@cits.wa.gov.au
Next Gen Grants,Regional Arts WA,Grants to support regional WA artists delivering arts projects for youth aged 12–18.,WA,Youth Arts Grant,13 August 2025,Regional WA artists,"Youth, All Art Forms","Up to $5,000",investment@regionalartswa.org.au
Targeted Assistance Initiative,Artist Relief Fund WA,Financial aid for WA-based entertainment professionals for essential living and medical expenses.,WA,Emergency Relief,Apply Anytime,"WA actors, musicians, creatives, and crew","Performing Arts, Music, Creative",Up to $500,https://www.artistreliefwa.org.au/
Quick Response Grants,Regional Arts WA,Supports regional artists and organisations to access professional development or respond to short-notice project opportunities. Offered monthly from Feb–Nov.,WA,Quick Response Grant,Accepting Applications,Regional WA artists and orgs,All Art Forms,"Up to $3,000 (Indiv.) / $5,000 (Org.)",https://regionalartswa.org.au/funding/quick-response-grant/
Project and Development Grants – Individuals,Carclew,"Supports young SA artists (up to age 26, or 30 for First Nations) to develop or present work, or deliver youth participation projects.",SA,Project Grant,21 September 2025,Young artists in SA (under 26/30 FN),All Art Forms,"Up to $10,000",https://carclew.com.au/program/project-grants/
The Ripple Effect,Human.Kind Studios,"Bimonthly micro-grants awarded to community-driven creative, conscious, and environmental projects that foster positive change in Adelaide.",SA,Micro-Grant,6 August 2025,Adelaide-based community-driven initiatives,"All Art Forms, Environmental","$1,500",hello@humankindstudios.com.au
40 for 40 Grant,Nexus Arts,Special grant supporting innovative projects by artists from culturally diverse and First Nations backgrounds.,SA,Cultural Diversity Grant,Accepting Applications,FN and culturally diverse artists in SA,All Art Forms,"$1,000",https://nexusarts.org.au/what-we-do/40-for-40-grant/
Targeted Development Grant,South Australian Film Corporation,Supports the development of ambitious screen projects that can be produced and post-produced in South Australia.,SA,Screen Development Grant,Accepting Applications,Screen creatives developing projects in SA,Screen,"Up to $20,000",https://www.safilm.com.au/development/
Matched Market Development Grant,South Australian Film Corporation (SAFC),Matched funding for SA production companies with secured market development support.,SA,Market Development Grant,Accepting Applications,SA production companies with market backing,Screen,"Up to $25,000",https://www.safilm.com.au/development/
Screen Production Fund,South Australian Film Corporation (SAFC),"Supports the production of scripted/unscripted content, providing up to 10% of SA production spend.",SA,Screen Production Fund,Accepting Applications,Producers creating screen content in SA,Screen,Up to 10% of SA spend,https://www.safilm.com.au/production/
Sir William Dobell Visiting Fellowships & Chair 2026,The University of Melbourne,"Up to four fellowships and one Chair position for art historians/curators to engage in research, teaching, and collaboration at ANU.",ACT,Fellowship,8 August 2025,Art historians and curators,"Art History, Curation","Up to $10,000 + support package",https://soad.cass.anu.edu.au/news/anu-centre-art-history-art-theory-sir-william-dobell-visiting-fellowship-program-2026
Artsbridge,Arts Tasmania,Supports travel for Tasmanian artists and cultural workers or to bring external professionals into Tasmania.,TAS,Travel Grant,8 September 2025,"Tasmanian artists, cultural workers, orgs","All Art Forms, Cultural Heritage","Up to $10,000",https://arts.tas.gov.au/grants_and_funding/artsbridge
Roving Curators Program,Arts Tasmania,"Provides in-kind support from museum professionals to assist Tasmanian museums, galleries, and collections with sector development and cultural heritage activities.",TAS,In-Kind Support Program,8 September 2025,"Eligible Tasmanian museums, galleries, collections","Museums, Galleries",Up to 25 Days of In-Kind Support,https://arts.tas.gov.au/grants_and_funding/roving_curators
2026 Exhibitions Program Callout,Outer Space,"Callout for solo or group exhibition proposals by emerging to mid-career artists/curators for Outer Space’s 2026 program. Includes fees, support, and documentation.",QLD,Exhibition Opportunity,29 August 2025,Emerging to mid-career artists and curators,"Visual Arts, Curatorial","$2,000 Artist Fee + Production Support",Tay Haggarty – exhibitions@outerspacebrisbane.org
2026 Platform Exhibition Program,Canberra Contemporary,"Applications open for artists, curators, and collectives to exhibit in Canberra Contemporary’s 2026 program.",ACT,Exhibition Opportunity,19 September 2025,"Artists, curators, collectives","Visual Arts, Curatorial",Exhibition Opportunity,Alexander Boynes – alexander@canberracontemporary.com.au
2026 Platform First Peoples Program,Canberra Contemporary,"Paid exhibition opportunity for an Aboriginal and/or Torres Strait Islander-led project. Includes travel, freight, and accommodation support.",ACT,Exhibition – First Nations,19 September 2025,Aboriginal and/or Torres Strait Islander artists,"First Nations, Visual Arts",Paid Exhibition + Support,Alexander Boynes – alexander@canberracontemporary.com.au
Swan River Crossings – Public Art Commissions,Fremantle Bridges Alliance,EOIs open for two major public art commissions: CROSSINGS and WATER STORY. Open to experienced artists/creatives.,WA,Public Art Commission,8 August 2025,Qualified/experienced artists,"Public Art, Community",Commissioned Project,procurement@fremantlebridges.com.au
Curtin University – Public Art Commissions,Curtin University,EOIs for three public art projects at the new Sciences Building. One for Noongar artists; two open to all Australian artists. Paid concept development.,WA,Public Art Commission,8 August 2025,Noongar and Australian artists,Public Art,Paid Concept Design Development,procurement@curtin.edu.au
boorda yeyi Immersive Arts Commission,PICA,"Major commission for immersive/tech-based work premiering in Perth then touring. $75,000 in total support offered.",WA,Commission,18 August 2025,Artists working with immersive media/technology,"Immersive Media, Tech Art","$75,000 ($50K cash + $25K in-kind)",Lillian Silk – lillian.silk@pica.org.au
Gallery Program 2026,PhotoAccess,"National call for photo-media artists to exhibit in 2026. Artists receive fees, curatorial and promotional support.",ACT,Exhibition Program,25 August 2025,"Photographers, photo-media artists","Photography, Photo-Media",Paid Exhibition + Curatorial/Promo Support,info@photoaccess.org.au
SIGNAL Young Creatives Lab 2026,City of Melbourne,Funding and residency program for creatives aged 18–25. One spot reserved for a d/Deaf or Disabled artist. Includes mentorship and production support.,VIC,Youth Creative Lab,Opens 1 August 2025,Creatives aged 18–25 (includes d/Deaf and Disabled artists),All Art Forms,"Up to $8,000 + Two-Week Residency",signal@melbourne.vic.gov.au
Public Call-Out – Mall Moments,Powerhouse Museum,"Open call for Western Sydney community memories, photos, and memorabilia related to shopping malls. Selected contributions featured in Powerhouse Parramatta exhibition.",NSW,Community Call-Out,22 August 2025,Western Sydney community members,"Public History, Community",Inclusion in exhibition,https://powerhouse.com.au/stories/what-are-your-mall-moments
Words in Motion: New Plays Development,Australian Plays Transform,"Five WA playwrights selected for a two-week development intensive, working with dramaturgs, actors, and directors. Ends with a public showcase.",WA,Playwriting Development Lab,20 August 2025,Emerging or mid-career WA playwrights,"Theatre, Playwriting",Paid Development Program,Sian Murphy – sian@apt.org.au
Audition Call Out #1 – Major 2026 Production,Theatre Works,Casting three adult performers (18–40s) for a major 2026 production directed by Suzanne Chaundy. Contemporary Australian work with ensemble storytelling.,VIC,Paid Acting Opportunity,4 August 2025,Adult performers aged 18–40s,"Theatre, Performance",Paid Acting Opportunity,https://www.theatreworks.org.au/
Audition Call Out #2 – Major 2026 Production,Theatre Works,Casting for a contemporary production directed by Lyall Brooks exploring family life in a regional setting. Three paid performance roles available.,VIC,Paid Acting Opportunity,8 August 2025,Adult performers,"Theatre, Performance",Paid Opportunity,https://www.theatreworks.org.au/
Society City Gallery – Monthly Artist Call Out,Society City,Submit EOIs for monthly exhibitions in Wollongong. Artists retain 100% of sales and can share work at monthly exhibition nights.,NSW,Exhibition Call-Out,Accepting Applications,Emerging and established artists,Visual Arts,Artist retains sales,societycityconsigment@gmail.com
Exhibition Proposals – Chrissie Cotter Gallery,Inner West Council,"Call for exhibition proposals for 2026. Includes space, promo, plinths/projector. 15% commission (capped at $1000). Artists must sit and organise their exhibition.",NSW,Free Exhibition Space,1 September 2025,Emerging and established artists,Visual Arts,Free Space + Limited Support,https://www.innerwest.nsw.gov.au/live/living-arts/opportunities-for-artists/chrissie-cotter-gallery-2026-eoi
AACTA Festival 2026 – Call for Pitches,AACTA,"Open call to creatives across disciplines to pitch talks, panels, masterclasses, etc. for inclusion in the AACTA Festival 2026 program.",NSW,Pitch Opportunity,Accepting Applications,Creatives across all disciplines,Multidisciplinary,Exposure/Participation,https://www.aacta.org/membership/?gad_source=1&gad_campaignid=931154793
Development Submissions,Hayes Theatre Co,"Accepting submissions for new music theatre works. Selected projects may receive mentorship, seed funding, or workshops.",NSW,Musical Theatre Development,3 September 2025,Music theatre creatives,Musical Theatre,Development Support,https://hayestheatre.com.au/development-submissions/
Gasworks 2026 Program EOI,Gasworks Arts Park,"EOI for Gasworks’ 40th anniversary season. Open to performance, visual art, installations, workshops, interdisciplinary proposals.",VIC,Program EOI,22 August 2025,Artists and creatives across all artforms,Multidisciplinary,Exhibition/Performance Slot,programming@gasworks.org.au
West of Central 2 – Exhibition Call Out,Bathurst Regional Art Gallery,Call out for artists living/working on Wiradjuri Country for a regional group exhibition celebrating connection to Country and contemporary practice.,NSW,Group Exhibition,24 August 2025,Artists on Wiradjuri Country,Visual Arts,Exhibition Opportunity,https://bathurstart.com.au/artist-opportunities/exhibition-proposals/
Public Art: Call for LGBTQIA+ Visual Artists,Mornington Peninsula Shire,LGBTQIA+ Victorian visual artists invited to propose a vinyl decal artwork for Midsumma Festival 2026.,VIC,Public Art Commission,17 August 2025,LGBTQIA+ visual artists in VIC,"Public Art, LGBTQIA+",Public Art Commission,publicart@mornpen.vic.gov.au
Public Art – Sorrento Surf Life Saving Club Redevelopment,City of Joondalup,"EOIs open for a new sculpture at Sorrento Beach. Selected artist will design, fabricate, and install the work, which will join the City’s Public Art Collection.",WA,Public Art Commission,25 August 2025,Artists with public art experience,"Sculpture, Public Art",Commissioned Work,https://www.joondalup.wa.gov.au/city-and-council/latest-news-updates/artist-opportunity-for-new-sorrento-surf-life-saving-club-redevelopment
Little Gallery Emerging Artist Program,Devonport Regional Gallery,Inviting emerging and early-career Tasmanian artists to propose exhibitions showcasing experimentation and critical development.,TAS,Emerging Artist Exhibition,25 August 2025,Emerging Tasmanian artists,Visual Arts,Exhibition Opportunity,https://www.devonport.tas.gov.au/council/forms-and-payments/little-gallery-emerging-artists-application-form/
